Year,Africa Past Life-Expectancy,Africa Future Life-Expectancy,Asia Past Life-Expectancy,Asia Future Life-Expectancy,Europe Past Life-Expectancy,Europe Future Life-Expectancy,North America Past Life-Expectancy,North America Future Life-Expectancy,Oceania Past Life-Expectancy,Oceania Future Life-Expectancy,South America Past Life-Expectancy,South America Future Life-Expectancy
1950,36.4,,41.2,,62,,68.2,,60.7,,51,
1951,36.7,,41.5,,62.4,,68.3,,60.9,,51.2,
1952,37.2,,42.1,,63.3,,68.6,,61.4,,51.7,
1953,37.7,,42.7,,64.1,,68.9,,61.8,,52.2,
1954,38.2,,43.1,,64.9,,69.1,,62.2,,52.7,
1955,38.7,,43.5,,65.6,,69.3,,62.6,,53.2,
1956,39.2,,43.9,,66.3,,69.5,,62.9,,53.7,
1957,39.7,,44.2,,66.9,,69.6,,63.2,,54.1,
1958,40.2,,44.5,,67.4,,69.8,,63.5,,54.6,
1959,40.7,,44.8,,67.9,,69.9,,63.7,,55.1,
1960,41.2,,45.2,,68.4,,70,,63.9,,55.6,
1961,41.6,,45.7,,68.7,,70.1,,64.1,,56,
1962,42.1,,46.4,,69.1,,70.2,,64.3,,56.5,
1963,42.5,,47.3,,69.3,,70.2,,64.5,,56.9,
1964,43,,48.3,,69.6,,70.3,,64.7,,57.3,
1965,43.4,,49.5,,69.7,,70.3,,64.9,,57.7,
1966,43.8,,50.8,,69.9,,70.4,,65.1,,58.2,
1967,44.2,,52,,70,,70.5,,65.3,,58.6,
1968,44.6,,53.1,,70.1,,70.6,,65.5,,59,
1969,45.1,,54.1,,70.3,,70.7,,65.8,,59.5,
1970,45.5,,54.9,,70.4,,70.9,,66.1,,59.9,
1971,45.9,,55.6,,70.5,,71.2,,66.4,,60.3,
1972,46.3,,56.3,,70.6,,71.4,,66.7,,60.7,
1973,46.8,,56.9,,70.7,,71.8,,67,,61.1,
1974,47.2,,57.5,,70.7,,72.1,,67.4,,61.5,
1975,47.6,,58,,70.8,,72.4,,67.7,,61.8,
1976,48,,58.6,,70.9,,72.8,,68.1,,62.2,
1977,48.5,,59.1,,71,,73.1,,68.5,,62.5,
1978,48.9,,59.6,,71.1,,73.5,,68.9,,62.8,
1979,49.3,,60.1,,71.2,,73.8,,69.3,,63.2,
1980,49.6,,60.5,,71.3,,74,,69.6,,63.6,
1981,50,,61,,71.4,,74.2,,69.9,,63.9,
1982,50.3,,61.4,,71.6,,74.4,,70.2,,64.3,
1983,50.7,,61.8,,71.8,,74.6,,70.5,,64.6,
1984,51,,62.2,,72.1,,74.7,,70.7,,65,
1985,51.2,,62.6,,72.3,,74.8,,70.9,,65.3,
1986,51.4,,63,,72.5,,74.9,,71.2,,65.6,
1987,51.6,,63.4,,72.7,,75.1,,71.4,,65.9,
1988,51.7,,63.7,,72.8,,75.2,,71.6,,66.3,
1989,51.8,,64.1,,72.8,,75.3,,71.9,,66.6,
1990,51.8,,64.4,,72.8,,75.4,,72.2,,66.9,
1991,51.8,,64.7,,72.8,,75.6,,72.5,,67.3,
1992,51.8,,65,,72.7,,75.8,,72.8,,67.6,
1993,51.8,,65.3,,72.7,,75.9,,73.1,,68,
1994,51.8,,65.6,,72.8,,76.1,,73.4,,68.4,
1995,51.9,,65.9,,72.8,,76.3,,73.6,,68.8,
1996,52,,66.2,,72.9,,76.4,,73.9,,69.3,
1997,52.2,,66.6,,73,,76.6,,74.1,,69.7,
1998,52.4,,66.9,,73.1,,76.7,,74.4,,70.1,
1999,52.5,,67.3,,73.2,,76.9,,74.6,,70.5,
2000,52.8,,67.7,,73.4,,77,,74.9,,70.9,
2001,53.1,,68,,73.5,,77.2,,75.2,,71.2,
2002,53.5,,68.4,,73.7,,77.4,,75.5,,71.6,
2003,54,,68.8,,73.9,,77.5,,75.8,,71.9,
2004,54.5,,69.2,,74.2,,77.7,,76.1,,72.2,
2005,55.2,,69.5,,74.5,,77.9,,76.4,,72.5,
2006,55.9,,69.9,,74.8,,78.1,,76.6,,72.8,
2007,56.6,,70.2,,75.1,,78.3,,76.9,,73.1,
2008,57.3,,70.5,,75.5,,78.5,,77.1,,73.4,
2009,58,,70.8,,75.9,,78.7,,77.3,,73.6,
2010,58.7,,71.1,,76.3,,78.8,,77.5,,73.9,
2011,59.3,,71.4,,76.7,,79,,77.7,,74.1,
2012,59.9,,71.7,,77,,79.1,,77.9,,74.4,
2013,60.5,,71.9,,77.3,,79.3,,78,,74.6,
2014,61,,72.2,,77.5,,79.4,,78.2,,74.8,
2015,61.5,,72.4,,77.7,,79.5,,78.4,,75.1,
2016,61.9,,72.6,,77.9,,79.7,,78.5,,75.3,
2017,62.3,,72.8,,78.1,,79.8,,78.7,,75.5,
2018,62.6,,73,,78.2,,80,,78.9,,75.7,
2019,63,,73.2,,78.4,,80.2,,,79,75.9,
2020,,63.3,,73.3,,78.5,,80.3,,79.2,,76.1
2021,,63.7,,73.5,,78.7,,80.5,,79.3,,76.3
2022,,64,,73.7,,78.9,,80.6,,79.5,,76.5
2023,,64.3,,73.9,,79.1,,80.8,,79.6,,76.7
2024,,64.6,,74.1,,79.2,,80.9,,79.7,,76.9
2025,,64.9,,74.2,,79.4,,81.1,,79.9,,77.1
2026,,65.2,,74.4,,79.6,,81.2,,80,,77.3
2027,,65.6,,74.5,,79.8,,81.4,,80.1,,77.5
2028,,65.9,,74.7,,79.9,,81.5,,80.2,,77.7
2029,,66.2,,74.9,,80.1,,81.7,,80.4,,77.9
2030,,66.5,,75,,80.2,,81.8,,80.5,,78.1
2031,,66.8,,75.2,,80.4,,82,,80.6,,78.3
2032,,67.1,,75.3,,80.6,,82.1,,80.7,,78.5
2033,,67.3,,75.5,,80.7,,82.3,,80.8,,78.7
2034,,67.6,,75.6,,80.9,,82.4,,80.9,,78.8
2035,,67.9,,75.8,,81,,82.6,,81,,79
2036,,68.2,,75.9,,81.2,,82.7,,81.1,,79.2
2037,,68.4,,76,,81.3,,82.9,,81.2,,79.4
2038,,68.7,,76.2,,81.5,,83,,81.3,,79.6
2039,,68.9,,76.3,,81.6,,83.2,,81.4,,79.8
2040,,69.2,,76.5,,81.8,,83.3,,81.6,,80
2041,,69.4,,76.6,,81.9,,83.5,,81.7,,80.1
2042,,69.7,,76.7,,82.1,,83.6,,81.8,,80.3
2043,,69.9,,76.9,,82.2,,83.7,,81.9,,80.5
2044,,70.1,,77,,82.3,,83.9,,82,,80.7
2045,,70.4,,77.1,,82.5,,84,,82.1,,80.9
2046,,70.6,,77.3,,82.6,,84.2,,82.2,,81
2047,,70.8,,77.4,,82.8,,84.3,,82.3,,81.2
2048,,71,,77.5,,82.9,,84.4,,82.4,,81.4
2049,,71.2,,77.6,,83,,84.6,,82.5,,81.6
2050,,71.4,,77.8,,83.2,,84.7,,82.6,,81.7
2051,,71.6,,77.9,,83.3,,84.8,,82.7,,81.9
2052,,71.8,,78,,83.5,,84.9,,82.8,,82.1
2053,,72,,78.2,,83.6,,85.1,,82.9,,82.2
2054,,72.2,,78.3,,83.7,,85.2,,83,,82.4
2055,,72.4,,78.4,,83.9,,85.3,,83,,82.6
2056,,72.6,,78.5,,84,,85.4,,83.1,,82.7
2057,,72.8,,78.6,,84.1,,85.5,,83.2,,82.9
2058,,73,,78.8,,84.3,,85.7,,83.3,,83
2059,,73.1,,78.9,,84.4,,85.8,,83.4,,83.2
2060,,73.3,,79,,84.5,,85.9,,83.5,,83.3
2061,,73.5,,79.1,,84.7,,86,,83.6,,83.5
2062,,73.7,,79.3,,84.8,,86.1,,83.7,,83.6
2063,,73.8,,79.4,,84.9,,86.2,,83.8,,83.7
2064,,74,,79.5,,85.1,,86.3,,83.9,,83.9
2065,,74.1,,79.6,,85.2,,86.4,,84,,84
2066,,74.3,,79.7,,85.3,,86.6,,84.1,,84.2
2067,,74.4,,79.8,,85.5,,86.7,,84.2,,84.3
2068,,74.6,,80,,85.6,,86.8,,84.3,,84.4
2069,,74.7,,80.1,,85.7,,86.9,,84.4,,84.6
2070,,74.9,,80.2,,85.9,,87,,84.5,,84.7
2071,,75,,80.3,,86,,87.1,,84.6,,84.8
2072,,75.2,,80.4,,86.2,,87.2,,84.7,,84.9
2073,,75.3,,80.5,,86.3,,87.3,,84.8,,85.1
2074,,75.4,,80.7,,86.4,,87.4,,84.9,,85.2
2075,,75.6,,80.8,,86.6,,87.5,,85,,85.3
2076,,75.7,,80.9,,86.7,,87.6,,85.1,,85.4
2077,,75.8,,81,,86.8,,87.7,,85.2,,85.6
2078,,76,,81.1,,87,,87.8,,85.3,,85.7
2079,,76.1,,81.2,,87.1,,87.9,,85.4,,85.8
2080,,76.2,,81.4,,87.2,,88.1,,85.5,,85.9
2081,,76.3,,81.5,,87.4,,88.2,,85.6,,86
2082,,76.5,,81.6,,87.5,,88.3,,85.7,,86.2
2083,,76.6,,81.7,,87.6,,88.4,,85.8,,86.3
2084,,76.7,,81.8,,87.8,,88.5,,85.9,,86.4
2085,,76.8,,82,,87.9,,88.6,,86,,86.5
2086,,77,,82.1,,88,,88.7,,86.1,,86.6
2087,,77.1,,82.2,,88.1,,88.8,,86.2,,86.7
2088,,77.2,,82.3,,88.2,,88.9,,86.3,,86.9
2089,,77.3,,82.5,,88.4,,89,,86.4,,87
2090,,77.5,,82.6,,88.5,,89.1,,86.5,,87.1
2091,,77.6,,82.7,,88.6,,89.2,,86.6,,87.2
2092,,77.7,,82.8,,88.7,,89.3,,86.7,,87.3
2093,,77.8,,82.9,,88.8,,89.4,,86.9,,87.4
2094,,78,,83.1,,88.9,,89.5,,87,,87.5
2095,,78.1,,83.2,,89,,89.7,,87.1,,87.7
2096,,78.2,,83.3,,89.2,,89.8,,87.2,,87.8
2097,,78.3,,83.5,,89.3,,89.9,,87.3,,87.9
2098,,78.5,,83.6,,89.4,,90,,87.4,,88
2099,,78.6,,83.7,,89.5,,90.1,,87.5,,88.1
