Year,USA,Mexico,China
1910,55880,2083,-9
1911,57157,2182,11880
1912,58992,2886,-9
1913,62825,4478,18408
1914,253205,22000,67785
1915,257648,21500,-9
1916,277421,-9,89499
1917,658584,63500,-9
1918,7014226,60000,193472
1919,11217796,70526,214511
1920,1657118,65792,-9
1921,1116342,65402,-9
1922,860853,65651,-9
1923,678256,61277,-9
1924,570142,52014,-9
1925,589706,45218,177669
1926,558004,46032,-9
1927,596501,42145,64307
1928,678100,46849,105698
1929,701300,47287,111605
1930,699200,38441,101852
1931,698900,31412,73381
1932,641600,19491,75541
1933,570400,16610,108653
1934,803100,16672,137458
1935,806400,17433,146954
1936,932600,19300,148278
1937,1032900,22478,407941
1938,1131499,23033,103151
1939,980000,18600,173755
1940,1657000,18146,217589
1941,6301000,22633,244000
1942,26001000,24691,61724
1943,72109000,30246,331806
1944,87000000,32921,195582
1945,90000000,34979,228612
1946,45133984,52037,789300
1947,14315999,57058,257474
1948,10960998,60576,214176
1949,13503000,48110,2030000
1950,14559000,40000,2558000
1951,33398000,46012,3094000
1952,47852000,50289,2709000
1953,49621008,55376,2538205
1954,42786000,47093,2538205
1955,40518000,42674,2575000
1956,41773008,50600,5539170
1957,44548000,63411,6219080
1958,45503008,69015,5894070
1959,46614000,70697,6612470
1960,45380000,81745,6727610
1961,47808000,88951,7953200
1962,52381008,100720,9329700
1963,52295008,111129,10690350
1964,51213008,127222,12851090
1965,51827008,132186,13787580
1966,67572000,143235,15931440
1967,75448000,171978,16389240
1968,80732000,182946,17856960
1969,81446000,204003,20299920
1970,77827008,218014,23775520
1971,74862000,224000,21600000
1972,77639000,260800,22500000
1973,78385000,326400,24500000
1974,85906000,430400,26800000
1975,90948000,586200,28500000
1976,91013000,529625,31700000
1977,100925000,533541,32700000
1978,109247000,634413,35000000
1979,122279000,693575,30000000
1980,143981000,824147,28500000
1981,169888000,777120,30500000
1982,196345000,943004,33000000
1983,217198000,607856,34500000
1984,237052000,562331,23850000
1985,245154000,1170000,6350000
1986,265480000,612460,5830000
1987,273966000,937000,5640000
1988,281935000,646450,5860000
1989,294880000,640630,6670000
1990,289755000,678410,6060000
1991,262389000,674536,18790000
1992,286892000,1520000,24300000
1993,297600000,1656000,27400000
1994,293214000,2300000,28945000
1995,277834000,2366000,32929000
1996,277254000,3629000,36176000
1997,276324000,3664000,36551000
1998,279702000,3907000,38191000
1999,292147000,4289000,39889000
2000,303136000,5229000,42000000
2001,322365000,5733000,46049000
2002,348555000,3236000,68963000
2003,404920000,2938000,75500000
2004,455908000,2876000,84303000
2005,495326000,3123000,29873000
2006,521840000,3229000,35223000
2007,552568000,3982000,46174000
2008,616073000,4346000,60187000
2009,662049000,4769000,70381000
2010,693600000,5410000,76361000
2011,687000000,5051000,90221000
2012,655388000,5237000,102643000
